subject,author,like,link,genre,rating,subscribe,episode,upload,present,avg_like
JON คุณชายไร้สติ,ยืนกินปากกาที่ท่าพระ,413648.0,https://www.webtoons.com/th/bl-gl/ai-jon/list?title_no=1656,วาย,9.86,315600.0,7.0,จบแล้ว,จบแล้ว,59092.57
ตึกตักตึกตัก ปิดเล่มรัก นักเขียนสุดแซ่บ,ยอนดู / ซองอี,318516.0,https://www.webtoons.com/th/romance/putongputong/list?title_no=1689,โรแมนซ์,9.17,239800.0,50.0,จบแล้ว,จบแล้ว,6370.32
นาทีนั้นที่ใต้น้ำ,bubu,1000000.0,https://www.webtoons.com/th/romance/shuixianayifenzhong/list?title_no=1256,โรแมนซ์,9.81,803700.0,80.0,จบแล้ว,จบแล้ว,12500.0
ปฏิบัติการแปลงโฉมลูกสาวเจ้าพ่อ,Katin / Moname,3500000.0,https://www.webtoons.com/th/comedy/mafia-daughter/list?title_no=706,ตลก,9.84,1800000.0,11.0,จบแล้ว,จบแล้ว,318181.82
โบตัน ภูตสาวจอมยุ่ง,PrayerGirl,2500000.0,https://www.webtoons.com/th/romance/botan-the-sassy-fairy/list?title_no=504,โรแมนซ์,9.82,753900.0,252.0,จบแล้ว,จบแล้ว,9920.63
อุบัติรักต้องคำสาป,manubi,296654.0,https://www.webtoons.com/th/fantasy/blindness/list?title_no=1634,แฟนตาซี,9.66,206600.0,87.0,จบแล้ว,จบแล้ว,3409.82
ระหว่างเรา...,คิมอินจอง,229594.0,https://www.webtoons.com/th/romance/good-relationship/list?title_no=1563,โรแมนซ์,9.53,146100.0,31.0,จบแล้ว,จบแล้ว,7406.26
Eggnoid,Archie The RedCat,1700000.0,https://www.webtoons.com/th/romance/eggnoid/list?title_no=703,โรแมนซ์,9.82,896500.0,243.0,จบแล้ว,จบแล้ว,6995.88
เมื่อแฟนผมกลายเป็นหนุ่มสุดฮอต,มัสสตาร์,1400000.0,https://www.webtoons.com/th/romance/my-girlfriend-is-a-hot-guy/list?title_no=1447,โรแมนซ์,9.79,516700.00000000006,147.0,จบแล้ว,จบแล้ว,9523.81
Ghost's Wife,เซจอง,1500000.0,https://www.webtoons.com/th/romance/ghost-wife/list?title_no=1337,โรแมนซ์,9.8,527700.0,135.0,จบแล้ว,จบแล้ว,11111.11
ภารกิจรัก ปลดคำสาปร้าย,หมีเผือก,678521.0,https://www.webtoons.com/th/drama/curse-of-lucky-amulet/list?title_no=1526,ดราม่า,9.78,236200.0,110.0,จบแล้ว,จบแล้ว,6168.37
ฮารุของฮานะ,ซอกอู,728724.0,https://www.webtoons.com/th/romance/hanaharu/list?title_no=1043,โรแมนซ์,9.82,278400.0,113.0,จบแล้ว,จบแล้ว,6448.88
เส้นขอบฟ้า,จองจีฮุน,42747.0,https://www.webtoons.com/th/drama/horizon/list?title_no=2169,ดราม่า,9.89,36300.0,3.0,จบแล้ว,จบแล้ว,14249.0
เมื่อรักสัมผัสไม่ได้,มัสสตาร์,1400000.0,https://www.webtoons.com/th/romance/untouchable/list?title_no=389,โรแมนซ์,9.79,846700.0,141.0,จบแล้ว,จบแล้ว,9929.08
ฮันนัมดง เคย์เฮ้าส์,ปาร์คแทจุน,447344.0,https://www.webtoons.com/th/romance/k-house/list?title_no=1501,โรแมนซ์,9.81,294100.0,47.0,จบแล้ว,จบแล้ว,9517.96
สเปกรักสปาร์กใจ,ทารี,240736.0,https://www.webtoons.com/th/romance/favorite-part/list?title_no=2046,โรแมนซ์,9.46,145600.0,11.0,จบแล้ว,จบแล้ว,21885.09
เขี้ยวรักสีส้ม,ซอกอู,1200000.0,https://www.webtoons.com/th/romance/orange-marmalade/list?title_no=330,โรแมนซ์,9.72,759400.0,120.0,จบแล้ว,จบแล้ว,10000.0
สลับร่างนายคู่แฝด,ปาร์คแจซอง / ปาร์คซองแจ,160374.0,https://www.webtoons.com/th/romance/brothers-girl/list?title_no=1813,โรแมนซ์,9.34,124900.0,7.0,จบแล้ว,จบแล้ว,22910.57
